Evento,Fecha,Latitud ,Longitud ,Tiempos de Trayectoria                                            
1,02/may,"19,7","-95,2",0645
,,"19,7","-94,7",0745
,,"19,3","-93,9",0845
,,"19,0","-93,5",0945
,,"19,0","-92,8",1045
,,"19,2","-92,6",1145
,,"19,9","-93,0",1245
,,"20,0","-92,8",1315
2,30/may,"23,1","-100,2",0445
,,"23,2","-100,0",0545
,,"23,3","-100,0",0645
,,"23,3","-100,2",0745
3,31/may,"23,4","-99,0",0315
,,"23,5","-98,9",0415
,,"23,6","-98,7",0515
,,"23,7","-98,8",0615
4,08/jun,"17,4","-95,9",0015
,,"17,4",-95.9,0115
,,"17,5","-95,9",0215
,,"17,5","-95,7",0315
,,"17,4","-95,4",0415
5,12-13/jun,"20,7","-87,3",2215
,,"20,9","-87,1",2315
,,"20,7","-86,9",0015
,,"20,7","-86,9",0115
,,"20,8","-86,8",0215
,,"21,0","-86,6",0315
,,"20,6","-86,7",0415
,,"20,7","-86,6",0515
,,"20,9","-86,5",0615
,,"21,1","-86,3",0715
,,"21,0","-86,1",0815
,,"21,1","-85,9",0915
,,"21,3","-85,9",1015
,,"21,6","-85,5",1115
6,13/jun,"15,4","-95,1",0245
,,"15,8","-90,2",0345
,,"16,0","-90,2",0445
,,"16,5","-90,2",0545
,,"16,7","-90,3",0645
,,"16,3","-90,0",0745
7,13-14/jun ,"17,1","-95,6",2345
,,"17,3","-95,5",0045
,,"17,3","-95,0",0145
,,"17,2","-94,7",0245
8,14/jun,"19,9","-102,5",0315
,,"19,9","-102,7",0415
,,"19,9","-103,0",0515
,,"20,1","-103,0",0615
,,"19,8","-103,1",0715
,,"19,4","-103,2",0815
9,17/jun,"18,4","-95,4",0815
,,"19,9","-95,9",0915
,,"19,3","-96,0",1015
,,"19,6","-96,2",1115
,,"19,9","-96,4",1215
,,"20,2","-96,7",1315
10,17/jun,"15,2","-94,8",1145
,,"15,2","-95,0",1245
,,"14,8","-95,3",1345
,,"14,8","-95,5",1445
,,"15,1","-95,7",1545
,,"15,3","-95,9",1645
11,22/jun,"14,5","-92,2",0015
,,"14,3","-92,1",0115
,,"14,3","-92,3",0215
,,"14,2","-92,6",0315
,,"14,0","-92,9",0415
,,"13,8","-92,9",0515
,,"14,2","-93,3",0615
,,"13,3","-93,8",0715
,,"13,3","-94,0",0745
12,22/jun,"15,9","-93,8",0745
,,"15,8","-94,0",0845
,,"16,0","-94,2",0945
,,"16,0","-94,4",1045
,,"15,9","-94,7",1145
,,"15,8","-95,1",1245
,,"15,9","-95,5",1315
13,22-23/jun,"27,5","-98,0",2245
,,"27,0","-98,1",2345
,,"27,1","-98,0",0045
,,"26,9","-98,2",0145
,,"26,9","-97,8",0245
,,"25,8","-98,6",0345
,,"25,8","-98,3",0445
,,"25,9","-98,1",0545
,,"25,8","-98,0",0645
,,"25,1",-98.1,0745
,,"24,7","-97,7",0845
14,01/jul,"14,5","-95,3",0515
,,"14,4","-95,9",0615
,,"14,4","-96,3",0715
,,"14,1","-96,9",0815
15,02/jul,"22,3","-105,2",0015
,,"22,4","-105,6",0115
,,"22,5","-105,8",0215
,,"22,7","-105,9",0315
16,04/jul,"13,8","-92,9",1145
,,"13,7","-93,2",1245
,,"13,6","-93,2",1345
,,"13,7","-93,0",1445
17,06/jul,"18,9","-105,6",0345
,,"18,9","-106,0",0445
,,"19,0","-106,3",0545
,,"19,1","-106,7",0645
,,"19,0","107,1",0745
,,"19,3","-107,4",0845
,,"20,4","-107,2",0945
,,"20,3","-107,5",1045
,,"20,9","-107,9",1145
,,"20,8","-108,1",1245
18,07/jul,"15,5","-93,5",0415
,,"15,2","-93,7",0515
,,"15,0","-94,0",0615
,,"15,3","-94,3",0715
,,"15,4","-94,9",0815
,,"15,4","-95,1",0915
,,"15,3","-95,4",1015
,,"15,5","-95,7",1115
,,"15,3","-95,8",1145
19,08/jul,"15,7","-94,5",0245
,,"15,4","-94,5",0345
,,"15,0","-94,8",0445
,,"14,7","-95,1",0545
20,08/jul,"14,8","-95,3",1145
,,"14,6","-95,4",1245
,,"14,5","-95,5",1345
,,"14,4","-95,6",1445
,,"14,6","-96,0",1545
,,"14,5","-96,4",1645
21,08/jul,"26,2","-107,7",0215
,,"26,3","-108,1",0315
,,"26,2","-108,2",0415
,,"26,1","-108,2",0515
22,09/jul,"15,3","-98,6",0445
,,"15,7","-99,0",0545
,,"15,8","-99,3",0645
,,"15,9","-99,7",0745
,,"15,8","-100,0",0845
,,"15,9","-100,5",0945
,,"16,1","-100,9",1045
,,"16,0","-101,2",1145
23,11-12/jul,"20,8","-96,0",1815
,,"21,2","-96,1",1915
,,"21,5","-96,0",2015
,,"21,8","-96,0",2115
,,"22,3","-96,1",2215
,,"23,0","-96,4",2315
24,11-12/jul,"24,6","-107,5",2315
,,"24,8","-107,7",0015
,,"24,9","-108,1",0115
,,"25,3","-108,4",0215
,,"26,2","-108,9",0315
,,"26,0","-109,3",0415
25,15/jul,"21,3","-105,7",1045
,,"21,2","-105,9",1145
,,"21,4","-105,9",1245
,,"21,4",-106,1345
,,"21,6","-106,1",1445
,,"22,0","-106,2",1545
,,"21,8","-106,4",1645
,,"22,0","-106,6",1745
,,"22,0","-106,7",1845
26,16/jul,"22,4","-106,2",1215
,,"22,5","-106,5",1315
,,"22,4","-106,6",1415
,,"22,2","-106,9",1515
,,"22,3",-107,1545
27,17/jul,"28,1","-109,4",0215
,,"28,5","-109,8",0315
,,"28,8","-110,1",0415
,,"28,9","-110,2",0515
,,"28,8","-110,3",0545
28,17/jul,"13,1","-89,7",0545
,,"13,2","-90,1",0645
